listing_id,reviews_total,reviews_last_365d
31088966,258,20
31117481,108,18
31153452,24,4
31195036,52,10
31290746,93,6
31302521,71,0
31329286,54,3
31356183,100,12
31358755,69,13
31358903,194,18
31416436,96,49
31440667,4,0
31468784,12,0
31490616,183,21
31509848,163,47
31515060,42,4
31617545,19,3
31630602,206,17
31640920,72,2
31651421,56,11
31653910,529,64
31696612,32,8
31718914,450,59
31741615,152,28
31777552,34,0
31836712,200,26
31852150,143,24
31860794,411,60
31909493,112,30
31924931,35,35
31985965,88,0
32040658,533,75
32046743,264,42
32048272,122,19
32082371,35,5
32125479,52,0
32132618,70,9
32139905,146,17
32148960,88,51
32171132,151,1
32177642,46,6
32245343,190,25
32288005,23,5
32310664,28,0
32356105,8,2
32406694,467,63
32428501,135,15
32466949,138,15
32574547,91,1
32587185,314,30
32639509,186,33
32661089,120,0
32668765,123,17
32669282,70,17
32697199,35,6
32735595,9,4
32741575,350,37
32757953,142,25
32821107,15,5
32841476,203,25
32871572,130,9
32877806,230,40
32934782,164,21
33017791,12,0
33036426,347,47
33036432,323,56
33051447,125,14
33073493,193,27
33154573,184,0
33163191,274,0
33185116,268,35
33186836,94,21
33249303,354,50
33363106,258,48
33364230,333,56
33376719,98,17
33409131,2,0
33438071,48,0
33471059,2,0
33491833,188,13
33501623,85,0
33520562,74,4
33556246,141,30
33578584,96,16
33593941,135,13
33594118,143,10
33615334,196,24
33636138,199,10
33645248,59,13
33667922,118,22
33724609,78,5
33749042,147,13
33749416,63,4
33753806,140,23
33755589,32,2
33810223,23,3
33855764,129,14
33940403,33,4
33948525,81,9
33948713,76,11
33948840,79,5
33998121,21,1
34043080,184,28
34044886,57,3
34081264,61,4
34110110,7,7
34115512,29,0
34122651,211,26
34147220,99,1
34147466,86,7
34195425,3,1
34201647,55,11
34211831,70,0
34216617,78,15
34224437,119,21
34234154,106,0
34282874,94,11
34303597,51,5
34317819,115,6
34318581,15,0
34322512,28,0
34327660,111,19
34336556,9,0
34337538,35,0
34340162,213,23
34348324,35,0
34383700,19,0
34441059,2,0
34441147,71,23
34448656,265,37
34517680,114,24
34528084,12,11
34533277,22,0
34565182,174,66
34574634,184,47
34590811,139,25
34597480,13,1
34624805,29,13
34649740,68,0
34719701,238,35
34722915,1,0
34774170,175,11
34782516,182,35
34788331,118,30
34789562,5,0
34809632,17,0
34818035,169,26
34819360,137,25
34819528,204,36
34866762,95,27
34866772,8,0
34890754,10,0
34902785,154,35
34913110,45,9
34913380,128,14
34930062,218,41
34932141,173,31
34974374,32,10
34975034,1,0
35009714,24,24
35034266,254,33
35037877,85,34
35039966,34,6
35049742,229,42
35129146,1,0
35149761,274,38
35158630,239,39
35183040,180,37
35195852,18,0
35212437,97,13
35229142,25,3
35230615,11,0
35256357,171,66
35262326,258,43
35265884,117,22
35267831,102,7
35284235,112,17
35346506,26,0
35351226,22,12
35351970,50,1
