listing_id,reviews_total,reviews_last_365d
1876511,13,0
1876811,271,0
1885714,76,4
1891118,7,0
1891274,6,0
1893225,27,1
1897447,372,1
1901154,24,1
1901357,26,0
1903198,81,0
1906604,7,0
1914185,21,0
1914231,443,0
1918693,447,36
1921859,71,5
1924645,29,0
1925224,122,0
1929321,16,0
1929540,9,0
1932110,19,0
1932491,9,0
1934444,5,0
1934765,1,0
1934804,76,0
1935175,1,0
1935302,231,0
1936633,114,1
1939106,16,0
1941435,21,2
1941439,58,4
1944155,10,0
1945115,119,0
1948494,375,19
1950603,2,0
1952271,113,2
1953928,88,0
1954653,37,0
1956467,5,0
1956677,15,0
1958765,87,0
1959024,6,0
1961361,6,0
1965766,1,0
1970697,107,0
1971540,174,0
1974700,22,0
1975069,7,0
1975999,10,0
1976123,20,0
1979127,93,0
1979506,1,0
1981590,178,0
1984378,27,0
1984390,2,0
1984486,59,1
1985022,3,0
1987627,5,0
1987949,1,0
1988823,238,0
1989731,6,0
2000576,278,0
2008122,3,0
2015168,284,1
2017397,88,0
2022938,21,0
2022958,14,0
2023357,4,0
2028291,92,0
2028432,29,0
2028677,60,0
2031495,11,0
2033224,11,0
2041041,93,1
2042764,11,0
2043060,57,0
2043329,11,0
2044873,114,0
2044889,18,0
2046225,3,0
2048796,1,0
2050993,1,0
2051013,19,0
2051352,32,0
2053940,4,0
2057295,20,0
2057403,8,0
2057480,4,0
2060275,1,0
2061811,3,0
2062630,1,0
2065538,19,0
2069359,222,2
2075526,8,0
2078120,12,0
2079686,13,0
2081177,6,0
2081850,2,1
2082670,1,0
2083547,10,0
2083749,55,0
2084817,16,0
2088389,16,0
2089492,27,0
2089712,3,0
2092827,8,3
2093064,26,0
2093304,69,1
2094213,8,0
2095959,26,0
2096581,19,0
2098030,52,0
2100887,6,0
2102542,17,0
2108237,4,0
2111336,73,0
2111422,5,0
2112142,23,0
2115773,1,1
2115784,4,0
2116940,4,0
2118102,3,0
2119582,14,0
2124536,95,0
2127713,49,0
2128464,4,0
2134052,19,0
2134697,30,3
2135754,21,0
2137111,14,0
2141635,1,0
2145599,244,5
2151479,311,47
2151558,26,1
2153153,59,2
2154075,338,5
2155610,3,0
2165107,34,0
2165933,2,0
2171821,13,0
2178294,6,0
2182899,24,0
2183423,237,0
2187682,57,5
2194038,39,0
2194382,2,0
2201581,10,0
2202858,4,0
2203154,2,0
2208545,68,0
2209835,282,4
2210663,21,0
2214689,13,0
2222886,1,0
2228840,11,0
2238300,1,0
2240661,2,0
2243321,26,0
2243548,34,0
2246112,3,0
2249464,139,0
2250790,11,0
2251009,1,0
2254388,5,0
2254817,31,5
2255549,435,4
2257064,3,0
2261018,15,0
2261367,13,0
2262868,1,0
2267177,385,49
2271792,47,0
2272739,8,0
2273733,1,0
2281147,131,0
2284670,32,32
2292366,21,0
2296024,10,0
2297029,6,0
2298731,86,5
2301258,23,0
2303583,11,0
2309363,30,0
2310008,4,0
2310594,247,0
2314392,49,0
2333141,15,0
2334411,105,2
2339096,194,0
2346106,8,0
2349737,9,0
2356082,25,0
2362306,8,0
2365792,94,0
2367089,71,0
2373238,224,5
2385779,195,22
2400614,55,4
2404708,22,0
2405505,12,0
2410819,10,0
2425222,1,0
2432545,42,0
2435198,58,2
2440173,6,0
2440357,12,4
2446430,150,0
2447868,11,0
2451647,434,65
2454507,6,0
2461439,216,2
2465259,40,0
2465699,35,5
2467377,37,2
2468186,21,0
2473861,292,31
2482036,69,0
2484057,24,0
2485774,312,3
2489615,28,0
2489920,21,0
2493039,30,0
2493176,19,0
2495596,3,0
2501809,14,0
2508374,148,0
2510394,68,3
2513351,1,0
2516430,1,0
2517989,55,0
2518907,1,0
2519770,1,0
2521670,2,0
2529085,3,0
2531865,29,0
2538248,214,18
2551299,4,0
2552606,8,0
2554110,2,0
2569466,9,0
2569808,66,3
2570561,2,0
2571224,1,0
2571283,2,0
2574386,3,0
2578731,14,0
2582812,44,0
2586556,10,0
2586923,32,0
2592533,2,0
2592640,1,0
2593478,16,0
2598087,2,0
2599963,14,0
2607583,14,2
2619549,10,2
2619802,13,1
2620068,11,3
2620837,17,0
2620856,4,0
2627940,12,0
2629613,220,3
2636396,5,0
2636532,11,3
2637533,56,0
2641540,72,0
2645558,50,0
2649068,51,0
2653186,13,0
2658349,1,0
2659448,61,0
2659477,2,0
2659732,21,2
2663296,6,0
2669352,53,0
2670522,44,0
2677779,70,0
2683387,89,0
2684223,80,0
2685701,1,0
2686412,130,14
2687375,6,0
2690370,1,0
2698984,6,0
2700296,140,0
2700596,159,0
2702351,27,0
2716009,34,0
2722693,1,0
2723019,17,2
2723338,2,0
2735650,19,0
2738377,6,0
2739577,1,0
2739707,2,0
2739978,8,0
2743624,3,0
2748094,84,0
2752977,12,0
2754179,16,2
2769718,1,0
2773754,7,0
2776119,3,0
2781747,95,0
2783468,1,0
2786015,123,5
2788298,1,0
2794584,1,0
2794725,1,0
2794734,2,0
2794762,9,0
2799360,2,0
2804557,1,0
2806791,275,0
2817967,17,3
2821079,1,0
2830518,30,0
2831424,16,0
2838331,194,0
2847633,32,0
2847652,211,1
2847932,5,1
2863408,9,1
2864637,2,0
2865117,16,5
2870840,121,1
2872353,16,3
2880336,24,0
2888088,266,1
2889377,57,0
2904571,2,0
2908211,112,0
2908417,9,0
2909461,9,0
2918764,9,0
2919062,2,0
2922197,164,1
2923381,16,0
2926030,10,0
2936054,45,0
2939670,88,0
2940007,25,7
2940163,63,0
2941297,5,0
2942129,145,0
2942732,8,0
2949128,258,7
2968070,653,5
2974433,2,0
2974877,13,0
2974957,2,0
2976105,2,0
2979097,12,3
2979714,181,15
2984662,10,0
2987465,16,1
2995000,343,31
2995209,5,0
2999527,2,0
3010664,37,0
3012871,44,2
3018285,8,0
3040654,14,0
3041280,1,0
3052426,11,0
3056451,5,0
3059273,17,0
3067062,12,0
3067093,12,0
3068145,27,4
3068852,21,1
3072242,10,0
3073195,6,0
3081771,295,6
3083197,120,1
3083899,1,0
3084473,5,0
3089577,4,0
3090922,74,0
3091425,5,0
3091872,1,0
3103596,2,0
3105986,4,0
3111416,29,1
3112284,35,0
3112872,7,0
3114929,1,0
3120723,6,0
3120957,8,0
3121176,3,0
3123479,39,0
3137906,79,2
3145484,29,0
3147439,2,0
3153464,14,2
3156969,346,0
3161739,76,2
3167768,46,0
3168120,1,0
3171480,3,0
3181376,1,0
3187925,47,1
3191450,2,0
3191678,44,0
3198365,215,0
3198709,97,1
3200522,269,2
3200728,11,0
3202590,107,3
3206379,13,0
3207986,142,0
3213712,3,0
3215486,9,0
3219654,12,0
3225975,41,1
3227002,2,0
3236977,6,0
3237160,2,0
3238517,48,4
3241287,13,0
3247291,294,40
3248526,12,0
3250685,5,0
3251014,5,0
3258196,120,0
3262855,5,0
3265407,12,0
3265982,31,1
3271893,36,2
3272201,14,0
3272743,3,0
3278530,6,0
3278631,2,0
3279671,215,6
3282550,12,0
3283409,193,0
3283729,7,0
3288496,20,0
3293842,12,0
3297016,56,0
3304307,84,0
3311834,79,0
3315933,4,0
3317978,2,0
3322922,9,0
3332881,1,0
3339399,23,1
3344237,140,1
3344509,1,0
3350417,36,0
3352030,4,0
3352608,10,0
3354458,43,0
3354459,7,0
3354484,7,0
3358937,10,0
3360707,203,3
3362302,4,0
3364802,3,0
3368441,36,0
3369100,372,2
3369623,32,0
3372925,1,0
3379914,23,1
3386746,24,0
3386829,3,0
3394517,83,0
3395697,1,0
3400739,150,15
3400837,36,0
3401271,261,0
3415102,41,0
3420223,21,0
3421020,36,0
3425054,10,0
3430612,13,0
3431922,3,0
3440741,5,0
3445138,37,0
3450210,197,3
3452835,42,0
3457770,1,0
3461872,3,0
3465651,272,26
3468486,1,0
3476431,42,0
3485146,1,0
3485449,124,19
3488989,3,0
3489242,8,0
3490317,513,50
3499016,2,0
3503627,17,0
3504289,2,0
3507112,11,0
3511778,11,0
3511883,10,0
3511898,5,0
3512428,274,24
3512620,69,0
3513052,3,3
3513662,3,0
3518682,50,0
3519172,29,1
3522244,88,4
3522329,43,0
3527764,38,38
3529500,72,0
3529888,9,0
3531681,167,0
3534443,119,0
3539618,9,0
3539882,11,0
3540370,191,0
3543839,83,25
3544273,10,1
3549074,2,0
3553768,195,2
3554230,100,46
3563271,97,0
3569374,7,0
3575859,1,0
